Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
Q5752,Peter Kropotkin,"Russian zoologist, evolutionary theorist, philosopher, scientist, revolutionary, economist, activist, geographer, writer (1842-1921)",Male,Russian Soviet Federative Socialist Republic; Russian Empire,Researcher,1842,1921,natural causes,79
Q5827,Pietro Perugino,Italian Renaissance painter of the Umbrian school (1448-1523),Male,NA,Artist,1448,1523,natural causes,75
Q5950,James Brown,"American singer, songwriter, musician, and recording artist (1933-2006)",Male,United States of America,Artist,1933,2006,natural causes,73
Q6527,Jean-Jacques Rousseau,"Genevan philosopher, writer, and composer (1712-1778)",Male,Republic of Geneva,Researcher,1712,1778,natural causes,66
Q6701,Jacob Grimm,"German philologist, linguist, jurist and mythologist (1785-1863)",Male,Germany; Prussia,Researcher,1785,1863,natural causes,78
Q6711,Allen Ginsberg,American poet,Male,United States of America,Artist,1926,1997,natural causes,71
Q7099,Emmy Noether,German mathematician,Female,Germany,Researcher,1882,1935,natural causes,53
Q7103,Sophie Germain,"French mathematician, physicist, and philosopher",Female,France,Researcher,1776,1831,natural causes,55
Q7122,Michel Audiard,French screenwriter and film director,Male,France,Artist,1920,1985,natural causes,65
Q7186,Marie Curie,Polish-French physicist and chemist (1867-1934),Female,Poland; France; Russian Empire,Researcher,1867,1934,natural causes,67
Q7197,Simone de Beauvoir,"French writer, intellectual, existentialist philosopher, political activist, feminist, and social theorist",Female,France,Artist,1908,1986,natural causes,78
Q7245,Mark Twain,American author and humorist,Male,United States of America,Artist,1835,1910,natural causes,75
Q7259,Ada Lovelace,"English mathematician, considered the first computer programmer",Female,United Kingdom of Great Britain and Ireland,Researcher,1815,1852,natural causes,37
Q7286,Émilie du Châtelet,"French mathematician, physicist, and author",Female,Democratic Republic of the Congo,Researcher,1706,1749,natural causes,43
Q7294,Johannes Brahms,German composer and pianist,Male,Germany,Artist,1833,1897,natural causes,64
Q7298,Antonín Dvořák,Czech composer (1841-1904),Male,Austria-Hungary; Kingdom of Bohemia,Researcher,1841,1904,natural causes,63
Q7304,Gustav Mahler,Austrian late-Romantic composer,Male,Austria-Hungary; Austrian Empire,Artist,1860,1911,natural causes,51
Q7311,Giacomo Puccini,Italian opera composer (1858-1924),Male,Kingdom of Italy,Artist,1858,1924,natural causes,66
Q7312,Franz Schubert,Austrian composer,Male,Austrian Empire,Artist,1797,1828,natural causes,31
Q7315,Pyotr Ilyich Tchaikovsky,Russian composer,Male,Russian Empire,Artist,1840,1893,natural causes,53
Q7326,Hernán Cortés,Spanish conquistador,Male,Spain; Spanish Empire; Habsburg Spain,Conquistador; governor; explorer,1485,1547,natural causes,62
Q7328,Vasco da Gama,Portuguese explorer,Male,Portugal,Explorer,1469,1524,natural causes,55
Q7346,John Coltrane,American jazz saxophonist,Male,United States of America,Artist,1926,1967,natural causes,41
Q7351,Robert Schumann,German composer,Male,Germany; Kingdom of Saxony,Artist,1810,1856,natural causes,46
Q7371,Federico Fellini,Italian filmmaker,Male,Italy; Kingdom of Italy,Artist,1920,1993,natural causes,73
Q7474,Rosalind Franklin,"British chemist, biophysicist, and X-ray crystallographer",Female,United Kingdom of Great Britain and Ireland,Researcher,1920,1958,natural causes,38
Q7504,Irène Joliot-Curie,French scientist (1897-1956),Female,France,Researcher,1897,1956,natural causes,59
Q7513,Kathleen Lonsdale,Irish crystallographer,Female,United Kingdom,Researcher,1903,1971,natural causes,68
Q7541,Sally Floyd,American computer scientist,Female,United States of America,Researcher,1950,2019,natural causes,69
Q7555,Jude Milhon,American hacker & author,Female,United States of America,Researcher,1939,2003,natural causes,64
Q7604,Leonhard Euler,Swiss mathematician,Male,Switzerland; Kingdom of Prussia; Russian Empire; Old Swiss Confederacy,Researcher,1707,1783,natural causes,76
Q7721,Napoleon III,"French emperor, president, and member of the House of Bonaparte (1808-1873)",Male,France,Politician,1808,1873,natural causes,65
Q7723,Napoleon II,Emperor of the French,Male,France,Drawer,1811,1832,natural causes,21
Q7724,August Strindberg,"Swedish novelist, poet (1849-1912)",Male,Sweden,Artist,1849,1912,natural causes,63
Q7729,Louis Bonaparte,"King of Holland, brother of Napoleon Bonaparte, member of the House of Buonaparte (1778-1846)",Male,France,Researcher,1778,1846,natural causes,68
Q7738,Louis XV of France,Bourbon monarch who ruled as King of France and of Navarre (1710-1774) (r. 1715–1774),Male,France,Art collector,1710,1774,natural causes,64
Q7742,Louis XIV of France,"King of France and Navarra, from 1643 to 1715",Male,Kingdom of France,Artist,1638,1715,natural causes,77
Q7750,Louis XVIII of France,Bourbon King of France and of Navarre (1755-1824),Male,Spain; France,Politician,1755,1824,natural causes,69
Q7758,Charles X of France,King of France (1757-1836) (r. 1824-1830),Male,Spain; France,Politician,1757,1836,natural causes,79
Q7833,Boris Vian,"French polymath: writer, poet, musician, singer, translator, critic, actor, inventor and engineer (1920-1959)",Male,France,Artist,1920,1959,natural causes,39
Q7836,René Magritte,Belgian painter (1898-1967),Male,Belgium,Artist,1898,1967,natural causes,69
Q7841,Alfred Jarry,French writer,Male,France,Artist,1873,1907,natural causes,34
Q7934,Frank Herbert,American writer,Male,United States of America,Artist,1920,1986,natural causes,66
Q8003,Sergei Eisenstein,Soviet filmmaker,Male,Soviet Union; Russian Empire,Artist,1898,1948,natural causes,50
Q8007,Franklin Delano Roosevelt,"U.S. American politician, 32nd president of the United States (1882-1945)",Male,United States of America,Politician,1882,1945,natural causes,63
Q8058,Guy Georget,king of France from 1461 to 1483,Male,France,Politician,1423,1483,natural causes,60
Q8409,Alexander the Great,king of Macedon,Male,Macedonia,Politician,-356,-323,natural causes,33
Q8433,Philip V of France,King of France and Navarre (1316-1322),Male,France,Ruler,1293,1322,natural causes,29
Q8440,Hugo Chávez,president of Venezuela (1999-2013),Male,Venezuela,Politician,1954,2013,natural causes,59
Q8474,Suleiman the Magnificent,Sultan of the Ottoman Empire,Male,Ottoman Empire,Artist,1494,1566,natural causes,72
Q8556,Edsger W. Dijkstra,Dutch computer scientist,Male,Kingdom of the Netherlands,Researcher,1930,2002,natural causes,72
Q8573,Sun Yat-sen,"Chinese physician, politician and revolutionary (1866-1925)",Male,Qing dynasty; Republic of China (1912–1949),Politician,1866,1925,natural causes,59
Q8597,Akbar,3rd Mughal Emperor (1542-1611),Male,Mughal Empire,Politician,1542,1605,natural causes,63
Q8605,Simón Bolívar,"Venezuelan military and political leader, protagonist of the Spanish-American emancipation against the Spanish Empire (1783-1830)",Male,Spain; Venezuela; Ecuador; Bolivia; Gran Colombia,Politician,1783,1830,natural causes,47
Q8612,Andrew Johnson,"American politician, 17th President of the United States (in office from 1865 to 1869)",Male,United States of America,Politician,1808,1875,natural causes,67
Q8620,Kwame Nkrumah,Ghanaian pan-africanist and the first Prime Minister and President of Ghana (1909-1972),Male,Ghana; Gold Coast,Artist,1909,1972,natural causes,63
Q8704,Walt Disney,American film producer and businessman (1901-1966),Male,United States of America,Artist,1901,1966,natural causes,65
Q8753,Enrico Fermi,Italian physicist,Male,United States of America; Italy; Kingdom of Italy,Researcher,1901,1954,natural causes,53
Q9047,Gottfried Wilhelm Leibniz,German mathematician and philosopher,Male,Germany; Holy Roman Empire,Researcher,1646,1716,natural causes,70
Q9061,Karl Marx,"German philosopher, economist, sociologist, journalist and revolutionary socialist (1818-1883)",Male,Kingdom of Prussia,Researcher,1818,1883,natural causes,65
Q9095,James Clerk Maxwell,Scottish physicist and mathematician,Male,United Kingdom; United Kingdom of Great Britain and Ireland,Researcher,1831,1879,natural causes,48
Q9106,Dmitri Mendeleev,Russian chemist,Male,Russian Empire,Researcher,1834,1907,natural causes,73
Q9130,Erwin Schrödinger,Austrian physicist,Male,Ireland; Austria; Germany; Nazi Germany; Austria-Hungary,Researcher,1887,1961,natural causes,74
Q9191,René Descartes,"French philosopher, mathematician, and scientist",Male,France,Researcher,1596,1650,natural causes,54
Q9204,C. S. Lewis,British writer,Male,United Kingdom,Researcher,1898,1963,natural causes,65
Q9235,Georg Wilhelm Friedrich Hegel,German philosopher,Male,Germany,Researcher,1770,1831,natural causes,61
Q9317,John Maynard Keynes,British economist (1883-1946),Male,United Kingdom; United Kingdom of Great Britain and Ireland,Researcher,1883,1946,natural causes,63
Q9327,Guy de Maupassant,French writer,Male,France,Artist,1850,1893,natural causes,43
Q9353,John Locke,English philosopher and physician (1632-1704),Male,Kingdom of England,Artist,1632,1704,natural causes,72
Q9358,Friedrich Nietzsche,"German philosopher, poet, composer, cultural critic, and classical philologist",Male,Germany; Kingdom of Prussia,Researcher,1844,1900,natural causes,56
Q9364,Jean-Paul Sartre,"French existentialist philosopher, playwright, novelist, screenwriter, political activist, biographer, and literary critic",Male,France,Artist,1905,1980,natural causes,75
Q9387,Max Weber,"German sociologist, philosopher, and political economist (1864-1920)",Male,Kingdom of Prussia; Weimar Republic,Researcher,1864,1920,natural causes,56
Q9391,Ludwig Wittgenstein,Austrian-British philosopher,Male,Austria; United Kingdom,Researcher,1889,1951,natural causes,62
Q9486,Graham Taylor,English association football player and manager (1944-2017),Male,United Kingdom,Athlete,1944,2017,natural causes,73
Q9640,Lyndon B. Johnson,36th president of the United States (1908-1973),Male,United States of America,Politician,1908,1973,natural causes,65
Q9711,Honoré de Balzac,French novelist and playwright (1799–1850),Male,France,Literary critic; novelist,1799,1850,natural causes,51
Q9726,Gioachino Rossini,Italian opera composer,Male,Papal States; Kingdom of Italy,Artist,1792,1868,natural causes,76
Q9916,Dwight D. Eisenhower,"United States Army general, statesman and 34th president of the United States (1890-1969)",Male,United States of America,Politician,1890,1969,natural causes,79
Q9965,Yongle Emperor,emperor of the Ming Dynasty,Male,Song dynasty; Ming dynasty; China,Researcher,1360,1424,natural causes,64
Q10664,Neville Chamberlain,former Prime Minister of the United Kingdom (1869-1940),Male,United Kingdom,Politician,1869,1940,natural causes,71
Q10665,Kim Jong-il,General Secretary of the Workers' Party of Korea (1941-2011),Male,North Korea,Politician,1941,2011,natural causes,70
Q10678,Yann-Fañch Kemener,traditional singer,Male,France,Artist,1957,2019,natural causes,62
Q11093,Valerie Solanas,American radical feminist and author,Female,United States of America,Artist,1936,1988,natural causes,52
Q11237,Nelson Rockefeller,American politician (1908-1979),Male,United States of America,Politician,1908,1979,natural causes,71
Q11440,Danielle Bunten Berry,American game designer and programmer,Transgender Female,United States of America,Researcher,1949,1998,natural causes,49
Q11483,Anita Borg,American computer scientist,Female,United States of America,Researcher,1949,2003,natural causes,54
Q11672,"Carroll A. Campbell, Jr.",112th Governor of South Carolina (1940-2005),Male,United States of America,Politician,1940,2005,natural causes,65
Q11715,Leopold Figl,"Austrian politician, minister, chancellor",Male,Austria,Politician,1902,1965,natural causes,63
Q11815,James Monroe,"American politician, 5th President of the United States (in office from 1817 to 1825)",Male,United States of America,Politician,1758,1831,natural causes,73
Q11817,Andrew Jackson,"American general and politician, 7th President of the United States (1767-1845)",Male,United States of America,Politician,1767,1845,natural causes,78
Q11847,Antoni Grabowski,Polish chemical engineer,Male,Poland,Researcher,1857,1921,natural causes,64
Q11869,William Henry Harrison,"American general and politician, 9th President of the United States (in office in 1841)",Male,United States of America,Politician,1773,1841,natural causes,68
Q11877,Ivory Joe Hunter,"American rhythm and blues singer, songwriter, and pianist",Male,United States of America,Artist,1914,1974,natural causes,60
Q11881,John Tyler,10th President of the United States (in office from 1841 to 1845),Male,United States of America,Politician,1790,1862,natural causes,72
Q11891,James K. Polk,"American politician, 11th President of the United States (in office from 1845 to 1849)",Male,United States of America,Politician,1795,1849,natural causes,54
Q11896,Zachary Taylor,"American general and politician, 12th President of the United States (in office from 1849 to 1850)",Male,United States of America,Statesperson,1784,1850,natural causes,66
Q12109,Roberto Raviola,Italian comic book artist,Male,Italy; Kingdom of Italy,Artist,1939,1996,natural causes,57
Q12113,Hugo Pratt,Italian comic book creator,Male,Italians,Artist,1927,1995,natural causes,68
Q12306,Millard Fillmore,"American politician, 13th President of the United States (in office from 1850 to 1853)",Male,United States of America,Politician,1800,1874,natural causes,74
Q12312,Franklin Pierce,"American politician, 14th President of the United States (in office from 1853 to 1857)",Male,United States of America,Politician,1804,1869,natural causes,65
Q12325,James Buchanan,"American politician, 15th President of the United States (in office from 1857 to 1861)",Male,United States of America,Politician,1791,1868,natural causes,77
Q12608,Hector Hodler,Swiss Esperantist (1887-1920),Male,Switzerland,Journalist,1887,1920,natural causes,33
Q12614,Ivo Lapenna,law professor from Yugoslavia,Male,United Kingdom; Yugoslavia,Teacher,1909,1987,natural causes,78
Q12747,Lance Tingay,"British sports journalist and writer, member of the International Tennis Hall of Fame",Male,United Kingdom,Athlete,1915,1990,natural causes,75
Q12878,Tron Øgrim,"Norwegian journalist, author and politician (1947-2007)",Male,Norway,Artist,1947,2007,natural causes,60
Q12903,Hisashi Inoue,Japanese playwright,Male,Japan,Artist,1934,2010,natural causes,76
Q12915,Amata Kabua,former President of the Marshall Islands (1928-1996),Male,Marshall Islands,Politician,1928,1996,natural causes,68
Q12976,Baudouin I of Belgium,Fifth King of the Belgians,Male,Belgium,Sovereign,1930,1993,natural causes,63
Q13014,Franz Jonas,seventh President of Austria (1899-1974),Male,Austria,Politician,1899,1974,natural causes,75
Q13484,Laurent Fignon,French professional road bicycle racer,Male,France,Athlete,1960,2010,natural causes,50
Q13515,Frédéric Bastiat,"French classical liberal theorist, political economist, and member of the French assembly (1801-1850)",Male,France,Politician,1801,1850,natural causes,49
Q13888,Luchino Visconti,"Italian theatre, opera and cinema director",Male,Italy; Kingdom of Italy,Artist,1906,1976,natural causes,70
Q14039,German Goldenshteyn,Moldovian musician,Male,United States of America,Clarinetist,1934,2006,natural causes,72
Q14254,Karen Spärck Jones,British computer scientist,Female,United Kingdom,Researcher,1935,2007,natural causes,72
Q14541,Terry Callier,"American jazz, soul and folk guitarist and singer-songwriter",Male,United States of America,Artist,1945,2012,natural causes,67
Q14837,Louis Leakey,British archaeologist and naturalist whose work was important in establishing human evolutionary development in Africa,Male,Kenya,Researcher,1903,1972,natural causes,69
Q14972,Bill Raisch,American dancer and actor,Male,United States of America,Artist,1905,1984,natural causes,79
Q15056,Jean-Luc Dehaene,Belgian former prime minister (1940-2014),Male,Belgium,Politician,1940,2014,natural causes,74
Q15193,Alexander I of Russia,Emperor of Russia (1777-1825),Male,Russian Empire,Politician,1777,1825,natural causes,48
Q15208,Catherine I of Russia,Empress of Russia (1725-1727),Female,Russian Empire; Livonia; Tsardom of Russia,Sovereign,1684,1727,natural causes,43
Q15451,W. D. Hamilton,British evolutionary biologist (1936-2000),Male,United Kingdom,Researcher,1936,2000,natural causes,64
Q15806,Dragotin Kette,Slovene Impressionist and Neo-Romantic poet,Male,Austria-Hungary,Artist,1876,1899,natural causes,23
Q15869,Freddie Mercury,"British singer, songwriter, record producer and graphic designer (1946-1991)",Male,United Kingdom,Artist,1946,1991,natural causes,45
Q16349,DeForest Kelley,American actor (1920-1999),Male,United States of America,Artist,1920,1999,natural causes,79
Q16390,Humphrey Bogart,American actor (1899-1957),Male,United States of America,Artist,1899,1957,natural causes,58
Q16493,Beatrice Helen Worsley,First female computer scientist in Canada,Female,Canada,Researcher,1922,1972,natural causes,50
Q16849,Matti Nykänen,Finnish ski jumper (1963-2019),Male,Finland,Athlete,1963,2019,natural causes,56
Q16924,János Bolyai,Hungarian mathematician,Male,Austrian Empire,Researcher,1802,1860,natural causes,58
Q16988,Liu Shaoqi,2nd President of the People's Republic of China (1898-1969),Male,People's Republic of China; Qing dynasty; Republic of China (1912–1949),Politician,1898,1969,natural causes,71
Q17163,Johan Cruyff,"Dutch association football player, then coach (1947-2016)",Male,Kingdom of the Netherlands,Athlete,1947,2016,natural causes,69
Q17410,Zhou Enlai,1st Premier of the People's Republic of China (1898-1976),Male,People's Republic of China; Qing dynasty; Republic of China (1912–1949),Politician,1898,1976,natural causes,78
Q17455,John von Neumann,Hungarian-American mathematician and polymath,Male,Hungary; United States of America; Austria-Hungary,Researcher,1903,1957,natural causes,54
Q17577,Joseph Gallieni,French soldier (1849-1916),Male,France,Politician,1849,1916,natural causes,67
Q18404,Henri Barbusse,French novelist (1873-1935),Male,France,Artist,1873,1935,natural causes,62
Q18420,Joachim du Bellay,"French poet, critic, and member of the Pléiade",Male,France,Artist,1522,1560,natural causes,38
