id,fantasy1,fantasy2,fantasy3,fantasy4,fantasy5,fantasy6,fantasy7,empathic_concern_1,empathic_concern_2,empathic_concern_3,empathic_concern_4,empathic_concern_5,empathic_concern_6,empathic_concern_7,personal_distress1,personal_distress2,personal_distress3,personal_distress4,personal_distress5,personal_distress6,role_taking1,role_taking2,role_taking3,role_taking4,role_taking5,role_taking6,prejudice_denial1,prejudice_denial2,prejudice_denial3,prejudice_denial4,prejudice_denial5,prejudice_denial6,prejudice_denial7,prejudice_denial8,prejudice_denial9,statement_of_differences1,statement_of_differences2,statement_of_differences3,statement_of_differences4,statement_of_differences5,negative_affects1,negative_affects2,negative_affects3,negative_affects4,negative_affects5,negative_affects6,negative_affects7,negative_affects8,negative_affects9,negative_affects10,positive_affects1,positive_affects2,positive_affects3,positive_affects4,positive_affects5,positive_affects6,positive_affects7,positive_affects8,positive_affects9,positive_affects10,gender,age,race,marital_status,household_income,family_members,academic_background
16.00,3.00,4.00,4.00,4.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,5.00,5.00,5.00,3.00,4.00,3.00,3.00,3.00,4.00,3.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,5.00,4.00,5.00,2.00,3.00,2.00,4.00,3.00,2.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,3.00,Female,18.00,white,single,3000.00,5.00,social_sciences_arts_education
17.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,3.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,1.00,4.00,1.00,1.00,1.00,2.00,1.00,1.00,4.00,5.00,7.00,1.00,4.00,3.00,5.00,5.00,5.00,3.00,1.00,4.00,4.00,2.00,5.00,3.00,3.00,2.00,5.00,2.00,2.00,4.00,2.00,4.00,2.00,Male,27.00,white,single,6500.00,8.00,social_sciences_arts_education
18.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,2.00,3.00,3.00,3.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,5.00,4.00,5.00,4.00,1.00,2.00,2.00,1.00,2.00,3.00,2.00,4.00,5.00,5.00,3.00,2.00,3.00,3.00,4.00,Male,26.00,brown,single,5000.00,6.00,social_sciences_arts_education
19.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,4.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,5.00,4.00,3.00,2.00,3.00,3.00,2.00,3.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,Female,25.00,brown,single,1000.00,5.00,social_sciences_arts_education
20.00,4.00,4.00,4.00,5.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,1.00,3.00,2.00,3.00,4.00,5.00,4.00,4.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,4.00,5.00,3.00,2.00,4.00,4.00,2.00,2.00,3.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,Female,25.00,white,single,1000.00,4.00,social_sciences_arts_education
21.00,5.00,5.00,5.00,4.00,5.00,2.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,5.00,5.00,5.00,2.00,4.00,2.00,5.00,5.00,4.00,5.00,4.00,5.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00,3.00,5.00,4.00,2.00,2.00,1.00,1.00,2.00,2.00,3.00,4.00,3.00,5.00,4.00,3.00,5.00,5.00,5.00,4.00,4.00,Female,22.00,brown,single,3500.00,4.00,social_sciences_arts_education
22.00,3.00,3.00,3.00,3.00,1.00,4.00,3.00,5.00,5.00,4.00,3.00,5.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,1.00,1.00,3.00,2.00,1.00,1.00,2.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00,2.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,Female,21.00,brown,single,1000.00,2.00,social_sciences_arts_education
23.00,3.00,5.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,4.00,4.00,1.00,4.00,4.00,4.00,2.00,3.00,4.00,5.00,5.00,5.00,5.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,1.00,2.00,3.00,3.00,4.00,3.00,2.00,1.00,1.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,3.00,3.00,4.00,3.00,5.00,Male,18.00,brown,single,980.00,4.00,social_sciences_arts_education
24.00,4.00,4.00,5.00,4.00,5.00,5.00,4.00,4.00,5.00,5.00,5.00,4.00,5.00,4.00,5.00,5.00,5.00,3.00,4.00,2.00,5.00,5.00,5.00,5.00,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,5.00,5.00,5.00,5.00,3.00,2.00,5.00,4.00,4.00,4.00,3.00,3.00,4.00,5.00,4.00,3.00,5.00,2.00,3.00,4.00,Female,21.00,white,single,2000.00,2.00,social_sciences_arts_education
25.00,3.00,2.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,5.00,5.00,3.00,2.00,2.00,2.00,2.00,4.00,4.00,5.00,4.00,4.00,3.00,4.00,1.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,2.00,2.00,1.00,1.00,2.00,2.00,2.00,2.00,3.00,2.00,2.00,2.00,4.00,3.00,3.00,3.00,5.00,2.00,2.00,4.00,4.00,2.00,3.00,Male,19.00,white,single,2500.00,2.00,social_sciences_arts_education
26.00,4.00,5.00,3.00,2.00,4.00,3.00,2.00,5.00,5.00,4.00,4.00,3.00,4.00,3.00,2.00,2.00,2.00,1.00,3.00,1.00,4.00,4.00,4.00,4.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,2.00,3.00,2.00,2.00,3.00,1.00,2.00,2.00,3.00,3.00,4.00,4.00,3.00,4.00,4.00,3.00,3.00,4.00,Female,18.00,brown,single,1200.00,4.00,healthcare 
27.00,2.00,3.00,3.00,2.00,2.00,5.00,3.00,4.00,5.00,4.00,3.00,4.00,4.00,2.00,3.00,4.00,4.00,3.00,5.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,1.00,1.00,3.00,4.00,1.00,1.00,7.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,5.00,3.00,2.00,2.00,4.00,2.00,4.00,1.00,2.00,2.00,3.00,4.00,2.00,3.00,2.00,3.00,3.00,4.00,Female,19.00,brown,single,2600.00,2.00,social_sciences_arts_education
28.00,4.00,5.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,2.00,2.00,4.00,3.00,3.00,2.00,2.00,2.00,5.00,5.00,4.00,5.00,5.00,5.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,4.00,2.00,3.00,2.00,2.00,1.00,4.00,2.00,4.00,2.00,4.00,4.00,4.00,5.00,5.00,3.00,5.00,3.00,3.00,4.00,Male,21.00,brown,single,900.00,4.00,social_sciences_arts_education
29.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,1.00,2.00,3.00,5.00,5.00,3.00,3.00,3.00,4.00,1.00,2.00,1.00,3.00,1.00,1.00,7.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,5.00,5.00,3.00,3.00,5.00,5.00,3.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,5.00,5.00,4.00,5.00,Female,20.00,white,single,900.00,1.00,social_sciences_arts_education
30.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,3.00,5.00,2.00,4.00,5.00,5.00,3.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,4.00,4.00,2.00,4.00,5.00,5.00,5.00,4.00,4.00,2.00,2.00,2.00,2.00,4.00,3.00,3.00,4.00,2.00,2.00,4.00,Female,20.00,brown,single,1250.00,4.00,social_sciences_arts_education
31.00,3.00,2.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,4.00,3.00,4.00,5.00,4.00,5.00,3.00,4.00,2.00,3.00,4.00,3.00,5.00,4.00,3.00,1.00,3.00,1.00,1.00,1.00,7.00,1.00,1.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,3.00,2.00,3.00,4.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,1.00,2.00,3.00,4.00,Female,19.00,brown,single,2000.00,4.00,social_sciences_arts_education
32.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,4.00,5.00,5.00,2.00,4.00,3.00,5.00,4.00,3.00,4.00,3.00,5.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,5.00,3.00,1.00,3.00,1.00,3.00,2.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,Male,18.00,asian,single,7000.00,5.00,social_sciences_arts_education
33.00,4.00,4.00,5.00,3.00,4.00,4.00,3.00,5.00,5.00,4.00,4.00,4.00,3.00,1.00,2.00,4.00,3.00,2.00,4.00,2.00,4.00,4.00,3.00,4.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,1.00,3.00,1.00,3.00,4.00,4.00,2.00,4.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,3.00,1.00,4.00,3.00,2.00,3.00,Female,19.00,brown,single,3000.00,3.00,social_sciences_arts_education
34.00,4.00,5.00,4.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,5.00,5.00,5.00,3.00,2.00,4.00,4.00,5.00,4.00,5.00,5.00,4.00,1.00,1.00,4.00,1.00,1.00,2.00,2.00,1.00,5.00,1.00,1.00,2.00,5.00,1.00,4.00,5.00,5.00,4.00,3.00,1.00,3.00,3.00,3.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,Male,24.00,black,single,1600.00,4.00,social_sciences_arts_education
35.00,2.00,3.00,3.00,3.00,3.00,5.00,5.00,4.00,4.00,4.00,4.00,3.00,4.00,5.00,3.00,4.00,5.00,2.00,5.00,3.00,5.00,2.00,3.00,3.00,4.00,5.00,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,4.00,1.00,4.00,4.00,4.00,4.00,5.00,2.00,4.00,4.00,3.00,4.00,2.00,2.00,2.00,4.00,2.00,3.00,3.00,1.00,3.00,3.00,Male,24.00,white,single,4000.00,4.00,social_sciences_arts_education
37.00,1.00,3.00,2.00,4.00,5.00,5.00,3.00,5.00,5.00,4.00,4.00,3.00,3.00,3.00,4.00,5.00,5.00,3.00,4.00,3.00,4.00,5.00,5.00,5.00,2.00,4.00,1.00,1.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,5.00,5.00,1.00,2.00,3.00,5.00,5.00,3.00,1.00,2.00,1.00,3.00,3.00,2.00,3.00,3.00,3.00,2.00,4.00,2.00,4.00,3.00,3.00,Female,18.00,brown,single,500.00,5.00,social_sciences_arts_education
38.00,4.00,5.00,5.00,4.00,5.00,4.00,3.00,5.00,5.00,4.00,4.00,4.00,5.00,4.00,5.00,5.00,4.00,1.00,3.00,3.00,3.00,5.00,3.00,5.00,5.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,1.00,3.00,1.00,1.00,1.00,3.00,3.00,3.00,2.00,3.00,2.00,2.00,2.00,3.00,2.00,3.00,3.00,4.00,4.00,5.00,3.00,3.00,3.00,3.00,4.00,Male,18.00,brown,single,1200.00,4.00,social_sciences_arts_education
39.00,3.00,3.00,4.00,4.00,3.00,5.00,4.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,4.00,4.00,5.00,5.00,2.00,2.00,3.00,3.00,2.00,3.00,3.00,3.00,5.00,4.00,3.00,3.00,4.00,3.00,4.00,3.00,Female,22.00,black,single,800.00,8.00,exact_ biological_sciences
40.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,3.00,4.00,3.00,5.00,4.00,3.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,5.00,5.00,5.00,3.00,3.00,4.00,4.00,5.00,3.00,3.00,4.00,5.00,3.00,3.00,3.00,3.00,5.00,3.00,Male,22.00,white,single,4000.00,4.00,exact_ biological_sciences
41.00,5.00,3.00,3.00,3.00,4.00,5.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,2.00,3.00,2.00,5.00,5.00,4.00,5.00,3.00,5.00,5.00,1.00,2.00,3.00,3.00,2.00,3.00,4.00,3.00,1.00,6.00,4.00,4.00,1.00,2.00,2.00,2.00,2.00,3.00,1.00,1.00,2.00,2.00,2.00,4.00,4.00,3.00,4.00,5.00,3.00,3.00,4.00,2.00,4.00,Male,24.00,brown,single,10000.00,5.00,exact_ biological_sciences
42.00,5.00,5.00,5.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,3.00,2.00,4.00,4.00,2.00,3.00,1.00,4.00,4.00,5.00,4.00,2.00,3.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,2.00,2.00,1.00,2.00,4.00,3.00,2.00,4.00,3.00,5.00,2.00,1.00,1.00,4.00,2.00,2.00,4.00,4.00,3.00,3.00,4.00,2.00,2.00,3.00,2.00,3.00,Male,21.00,brown,single,1800.00,4.00,social_sciences_arts_education
43.00,1.00,1.00,3.00,1.00,3.00,5.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,3.00,3.00,5.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,5.00,4.00,1.00,1.00,3.00,3.00,1.00,1.00,3.00,1.00,2.00,1.00,1.00,4.00,2.00,1.00,4.00,1.00,4.00,4.00,4.00,4.00,2.00,5.00,2.00,2.00,2.00,3.00,4.00,5.00,4.00,4.00,3.00,4.00,4.00,5.00,Male,19.00,white,single,5000.00,5.00,social_sciences_arts_education
44.00,4.00,4.00,4.00,3.00,4.00,5.00,1.00,5.00,5.00,5.00,4.00,5.00,4.00,1.00,5.00,5.00,5.00,4.00,3.00,2.00,5.00,5.00,5.00,5.00,3.00,4.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,2.00,5.00,4.00,5.00,5.00,4.00,5.00,2.00,2.00,4.00,4.00,5.00,5.00,4.00,4.00,5.00,5.00,5.00,4.00,Female,20.00,black,single,3000.00,3.00,social_sciences_arts_education
45.00,3.00,4.00,4.00,3.00,4.00,2.00,3.00,4.00,5.00,5.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,2.00,5.00,5.00,4.00,5.00,4.00,5.00,1.00,1.00,1.00,3.00,1.00,1.00,2.00,1.00,1.00,1.00,2.00,4.00,1.00,1.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,5.00,4.00,3.00,4.00,Male,21.00,black,single,4000.00,5.00,social_sciences_arts_education
46.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,4.00,5.00,4.00,5.00,4.00,5.00,5.00,4.00,2.00,2.00,1.00,1.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,5.00,4.00,1.00,3.00,4.00,2.00,5.00,1.00,3.00,4.00,4.00,5.00,5.00,3.00,4.00,5.00,4.00,5.00,4.00,Male,21.00,white,single,800.00,3.00,social_sciences_arts_education
47.00,5.00,4.00,5.00,4.00,1.00,5.00,3.00,4.00,5.00,5.00,4.00,5.00,3.00,4.00,3.00,5.00,3.00,2.00,2.00,2.00,5.00,5.00,5.00,5.00,4.00,5.00,1.00,3.00,3.00,1.00,2.00,1.00,4.00,1.00,4.00,2.00,4.00,2.00,5.00,2.00,4.00,1.00,3.00,5.00,2.00,2.00,4.00,1.00,3.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,Male,24.00,white,single,2000.00,4.00,social_sciences_arts_education
48.00,5.00,5.00,5.00,3.00,4.00,4.00,4.00,5.00,5.00,5.00,3.00,4.00,3.00,2.00,3.00,2.00,4.00,1.00,3.00,2.00,5.00,4.00,4.00,4.00,4.00,5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,3.00,4.00,5.00,4.00,2.00,3.00,5.00,4.00,4.00,3.00,Female,23.00,white,single,3500.00,5.00,social_sciences_arts_education
