df_hora,tcle,prof_educao_basica,atuou_meses,dass1,dass2,dass3,dass4,dass5,dass6,dass7,dass8,dass9,dass10,dass11,dass12,dass13,dass14,dass15,dass16,dass17,dass18,dass19,dass20,dass21,n_escolas,eactd1,eactd2,eactd3,eactd4,eactd5,eactd6,eactd7,eactd8,eactd9,eactd10,eactd11,eactd12,eactd13,eactd14,eactd15,eactd16,eactd17,eactd18,eactd19,eactd20,eactd21,eactd22,eactd23,eactd24,eactd25,eactd26,eactd27,eactd28,eactd29,eactd30,eactd31,eactd32,eactd33,eactd34,eactd35,eactd36,eactd37,eactd38,eactd39,eactd40,eactd41,eactd42,eactd43,eactd44,eactd45,eactd46,eactd47,eactd48,eactd49,eactd50,eactd51,eactd52,eactd53,eactd54,eactd55,eactd56,eactd57,eactd58,ehelde1,ehelde2,ehelde3,ehelde4,ehelde5,ehelde6,ehelde7,ehelde8,ehelde9,ehelde10,ehelde11,ehelde12,ehelde13,ehelde14,ehelde15,ehelde16,ehelde17,ehelde18,ehelde19,ehelde20,ehelde21,ehelde22,ehelde23,ehelde24,ehelde25,ehelde26,ehelde27,ehelde28,ehelde29,ehelde30,ehelde31,ehelde32,ehelde33,ehelde34,ehelde35,ehelde36,ehelde37,ehelde38,ehelde39,ehelde40,ehelde41,ehelde42,ehelde43,ehelde44,ehelde45,ehelde46,ehelde47,ehelde48,ehelde49,ehelde50,ehelde51,ehelde52,ehelde53,ehelde54,idade,sexo,genero,corraca,estadocivil,escolaridade,rendafamiliar,deprenda,ndeensino,contrato,deficiencia,meioescola,estado,rede,tempoexperiencia
2023-06-28T12:58:59Z,Sim,Sim,Sim,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1 Escola,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,43,Masculino,Homem cis,Branco,Casado(a),Curso superior completo,1300,4,Fundamental II (Anos finais do Ensino Fundamental),Temporário/Substituto,Não,Urbano,Paraíba,Municipal (pública),22
2023-06-27T11:53:11Z,Sim,Sim,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 Escola,4,4,4,4,3,1,2,4,5,4,4,3,3,2,4,5,3,3,1,4,2,2,4,1,2,2,2,2,5,5,1,5,3,5,1,5,5,1,3,1,4,3,4,4,3,1,3,1,3,3,5,3,3,2,5,2,1,2,9,9,9,9,4,9,9,9,2,9,9,9,3,8,9,9,7,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,8,9,9,7,9,9,9,9,9,1,9,8,9,9,8,8,8,8,8,8,55,Feminino,Prefiro não responder,Pardo,Casado(a),Especialização,4000,6,Fundamental II (Anos finais do Ensino Fundamental),Efetivo/Concursado,Não,Urbano,Ceará,Municipal (pública),33
2023-06-27T10:06:40Z,Sim,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-08-09T09:53:29Z,Sim,Sim,Sim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 Escola,5,5,4,4,4,1,1,4,5,5,4,4,4,1,5,5,1,1,1,5,2,1,5,1,1,1,2,1,4,3,1,4,2,2,1,4,5,1,1,1,4,1,2,4,5,1,4,1,5,5,5,2,1,1,5,1,1,4,8,9,9,9,1,9,9,9,1,9,9,9,1,9,9,9,1,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,3,9,9,9,9,9,1,9,8,9,9,9,9,1,9,9,9,62,Masculino,Homem cis,Preto,Casado(a),Especialização,5500,3,Ensino Médio,Temporário/Substituto,Não,Rural,Ceará,Estadual (pública),15
2023-06-27T05:12:43Z,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-29T12:43:17Z,Sim,Sim,Sim,0,0,0,3,3,2,2,0,3,0,1,3,1,2,2,0,1,3,0,2,0,1 Escola,4,4,4,4,5,2,4,3,3,3,5,2,3,5,4,1,3,3,2,3,3,2,3,2,3,4,3,3,4,4,2,4,4,4,4,2,4,5,5,3,5,3,2,3,3,4,2,4,4,1,2,3,4,4,2,5,3,4,5,7,7,7,9,9,7,9,2,9,8,9,9,6,8,9,9,7,9,8,8,8,9,7,9,7,1,3,4,9,2,1,5,8,5,7,6,6,6,8,6,9,7,1,8,1,9,5,5,6,7,8,8,9,35,Feminino,Mulher cis,Pardo,Casado(a),Curso superior completo,2000,4,Atendimento Educacional Especializado (AEE),Temporário/Substituto,Não,Urbano,Maranhão,Municipal (pública),3
2023-06-30T07:58:11Z,Sim,Sim,Sim,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1 Escola,3,2,3,5,2,3,3,2,4,3,4,3,3,3,3,4,4,4,4,3,4,3,3,3,4,4,4,4,4,3,3,3,3,2,3,2,3,4,4,3,2,3,2,3,3,2,2,3,4,3,2,3,4,3,4,3,2,2,7,8,7,7,8,8,7,7,7,8,7,7,3,7,6,6,7,6,6,6,4,4,4,7,5,6,5,5,4,6,2,3,3,5,4,5,5,8,5,4,3,7,6,6,5,4,5,4,4,3,5,6,4,3,55,Feminino,Prefiro não responder,Pardo,União estável,Mestrado,8000,3,Fundamental II (Anos finais do Ensino Fundamental),Efetivo/Concursado,Não,Urbano,Ceará,Municipal (pública),26
2023-07-19T09:50:51Z,Sim,Sim,Sim,1,1,2,1,1,1,1,1,2,0,1,1,0,0,1,1,2,1,0,1,0,1 Escola,4,4,4,1,2,5,3,5,4,3,3,3,4,1,3,5,2,4,2,4,3,3,4,1,3,2,1,1,5,5,1,5,2,5,1,3,3,1,1,3,5,2,4,5,5,1,3,2,1,5,5,3,1,2,5,2,3,3,8,9,9,9,8,9,9,8,1,8,8,9,1,8,8,9,5,6,8,8,9,8,8,8,7,8,8,7,8,8,8,9,9,8,8,8,8,3,9,9,9,8,8,2,8,8,8,9,9,8,8,9,9,9,37,Feminino,Mulher cis,Branco,Solteiro(a),Curso superior completo,3500,5,Educação Infantil;Fundamental I (Anos iniciais do Ensino Fundamental),Temporário/Substituto,Não,Rural,Maranhão,Municipal (pública),10
2023-07-18T01:25:33Z,Sim,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-07-23T09:24:22Z,Sim,Sim,Sim,2,2,2,2,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2 Escolas,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,47,Feminino,Mulher cis,Branco,Divorciado(a),Especialização,NA,1,Educação Infantil;Fundamental I (Anos iniciais do Ensino Fundamental);Atendimento Educacional Especializado (AEE),Efetivo/Concursado,Não,Rural,São Paulo,Municipal (pública),5
2023-06-27T02:10:38Z,Sim,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-27T03:20:34Z,Sim,Sim,Sim,2,3,1,1,2,3,3,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2 Escolas,3,2,2,1,4,5,4,2,2,2,5,1,3,5,3,1,5,3,5,3,4,5,1,3,5,5,5,5,2,1,4,4,3,3,5,2,2,5,4,5,1,4,2,2,3,3,2,5,5,1,2,5,5,4,1,5,2,5,2,2,3,2,9,1,2,5,9,1,2,3,9,3,3,2,9,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,1,1,2,2,2,9,2,2,1,2,2,5,2,1,2,2,2,2,9,1,1,1,54,Feminino,Mulher cis,Branco,Divorciado(a),Curso superior completo,4000,4,Fundamental I (Anos iniciais do Ensino Fundamental),Efetivo/Concursado,Não,Urbano,São Paulo,Municipal (pública),20
2023-06-27T02:18:12Z,Sim,Sim,Sim,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2 Escolas,4,4,4,4,3,2,3,3,4,4,4,3,3,4,3,2,3,4,1,5,3,2,4,1,3,2,2,4,3,3,2,4,3,3,4,4,4,3,2,2,2,4,2,4,4,1,2,5,4,3,3,2,3,4,3,3,1,3,8,8,9,9,2,9,9,9,1,9,9,9,2,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,8,9,9,9,9,5,6,9,8,37,Masculino,Prefiro não responder,Preto,Solteiro(a),Especialização,4000,2,Fundamental I (Anos iniciais do Ensino Fundamental);Educação de Jovens e Adultos (EJA),Temporário/Substituto,Não,Rural,Ceará,Municipal (pública);Estadual (pública),5
2023-06-29T11:34:10Z,Sim,Sim,Sim,1,1,0,0,1,1,1,2,2,1,2,2,2,1,1,1,2,2,1,2,2,1 Escola,2,1,3,2,5,4,4,3,2,1,5,2,2,5,3,3,3,4,4,3,5,5,2,2,5,4,5,5,2,2,3,3,5,3,1,2,2,5,2,5,3,4,1,2,3,3,3,3,1,2,2,5,4,4,1,4,4,5,2,2,2,3,9,2,2,9,2,1,2,4,9,3,9,3,9,3,3,1,2,9,2,3,5,4,2,2,1,9,2,2,2,8,2,9,9,9,9,3,1,6,8,8,5,1,2,1,1,1,9,1,1,9,40,Feminino,Mulher cis,Branco,Casado(a),Doutorado,9000,3,Fundamental I (Anos iniciais do Ensino Fundamental),Efetivo/Concursado,Não,Urbano,Paraná,Municipal (pública),15
2023-07-18T03:59:18Z,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-27T07:31:18Z,Sim,Sim,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1 Escola,5,5,2,4,1,2,1,4,5,4,5,4,4,2,5,5,3,4,1,4,3,3,4,2,3,2,3,3,5,5,1,3,1,3,1,5,3,3,1,1,5,2,5,4,4,1,3,1,1,3,5,1,3,2,5,1,1,1,9,9,9,9,5,9,9,9,1,9,9,9,1,9,9,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,1,9,5,9,9,9,9,5,9,9,9,27,Feminino,Mulher cis,Pardo,Casado(a),Curso superior incompleto,1500,2,Fundamental I (Anos iniciais do Ensino Fundamental),Temporário/Substituto,Não,Rural,Ceará,Municipal (pública),6
2023-06-27T06:17:31Z,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-27T05:15:06Z,Sim,Sim,Não,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-06-28T10:53:54Z,Sim,Sim,Sim,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2 Escolas,5,2,2,1,3,5,3,1,1,2,5,1,1,5,1,1,5,5,5,1,5,5,3,4,5,5,4,5,2,1,5,1,5,2,5,1,1,4,5,2,1,5,1,4,2,1,1,5,5,1,1,4,1,5,3,5,4,5,2,6,8,6,8,7,7,8,2,7,5,7,2,7,7,7,7,7,2,7,2,8,2,8,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,6,6,6,6,6,6,6,6,6,50,Masculino,Prefiro não responder,Preto,Divorciado(a),Mestrado,4000,5,Fundamental II (Anos finais do Ensino Fundamental),Efetivo/Concursado,Não,Urbano,Maranhão,Municipal (pública),12
